U1,U prop I_A,
0,0.134,
0.5,0.134,
1,0.135,
1.5,0.135,
2,0.135,
2.5,0.135,
3,0.136,
3.5,0.136,
4,0.136,
4.5,0.136,
5,0.136,
5.5,0.136,
6,0.138,
6.1,0.141,
6.2,0.145,
6.3,0.150,
6.4,0.160,
6.5,0.174,
6.6,0.189,
6.7,0.203,
6.8,0.223,
6.9,0.245,
7,0.266,
7.5,0.372,
8,0.463,
8.5,0.535,
9,0.594,
9.5,0.650,
10,0.706,
10.5,0.760,
11,0.807,
11.5,0.849,
12,0.882,
12.5,0.912,
13,0.940,
13.5,0.970,
14,0.996,
14.5,1.025,
15,1.094,1.055
15.5,1.128,1.081
16,1.161,1.108
16.5,1.209,1.150
16.6,1.216,
16.7,1.225,
16.8,1.232,
16.9,1.240,
17,1.246,1.235
17.1,1.250,
17.2,1.250,
17.3,1.247,
17.4,1.242,
17.5,1.235,1.231
17.6,1.224,
17.7,1.214,
17.8,1.198,
17.9,1.179,
18,1.158,1.153
18.5,1.028,
19,0.866,
19.5,0.7,
20,0.550,
20.5,0.420,
21,0.321,
21.5,0.245,
22,0.189,
22.5,0.149,
23,0.125,
23.5,0.152,
24,0.274,
24.5,0.462,
25,0.666,
25.5,0.857,
26,1.002,
26.5,1.208,
27,1.376,
27.5,1.515,
28,1.644,
28.5,1.740,
29,1.827,
29.5,1.893,
30,1.959,
30.5,2.012,
31,2.066,
31.5,2.113,
32,2.161,
32.5,2.199,
32.6,2.209,
32.7,2.214,
32.8,2.222,
32.9,2.228,
33,2.235,
33.1,2.240,
33.2,2.246,
33.3,2.251,
33.4,2.253,
33.5,2.255,
33.6,2.257,
33.7,2.256,
33.8,2.254,
33.9,2.249,
34,2.240,
34.1,2.231,
34.2,2.217,
34.3,2.199,
34.4,2.183,
34.5,2.157,
34.6,2.128,
34.7,2.096,
34.8,2.068,
34.9,2.029,
35,1.974,
35.5,1.743,
36,1.444,
36.5,1.164,
37,0.876,
37.5,0.657,
38,0.457,
38.5,0.310,
39,0.181,
39.5,0.092,
40,0.042,
40.5,0.109,
41,0.315,
41.5,0.544,
42,0.800,
42.5,1.037,
43,1.315,
43.5,1.560,
44,1.825,
44.5,2.049,
45,2.269,
45.5,2.441,
46,2.616,
46.5,2.760,
47,2.906,
47.5,3.028,
48,3.152,
48.5,3.255,
49,3.363,
49.5,3.450,
49.6,3.471,
49.7,3.487,
49.8,3.500,
49.9,3.517,
50,3.532,
50.1,3.547,
50.2,3.562,
50.3,3.572,
50.4,3.582,
50.5,3.584,
50.6,3.595,
50.7,3.598,
50.8,3.599,
50.9,3.595,
51,3.584,
51.1,3.579,
51.2,3.565,
51.3,3.546,
51.4,3.521,
51.5,3.497,
52,3.303,
52.5,3.059,
53,2.731,
53.5,2.410,
54,2.061,
54.5,1.750,
55,1.430,
55.5,1.166,
56,0.895,
56.5,0.687,
57,0.559,
57.5,0.597,
58,0.738,
58.5,0.886,
59,1.099,
59.5,1.375,
60,1.753,
60.5,2.120,
61,2.560,
61.5,2.977,
62,3.467,
62.5,3.930,
63,4.49,
63.5,5.03,
64,5.70,
64.5,6.37,
65,7.30,
65.5,8.55,
